testerId,[scale] How easy was it to understand the recommendation?,[scale] How easy was it to understand the recommendation?_1,[scale] How easy was it to understand the recommendation?_2,[mission] Find a canton with a level of risk: Very High and follow recommendations for driving,[mission] Find a canton with a Medium level of risk and follow recommendations for outdoors,[mission] Find a canton with a High level of risk and follow recommendations for indoors,"[scale] On a scale of 1 to 10, how was your experience with the interface? (1 = not user-friendly at all, 10 = super user friendly)",[multiple_choice] Which way of representing the recommendations did you find the most useful?,[input] Do you have any further comments?,[context] Demographic Questions,[input] What is your age?,[multiple_choice] What gender do you identify as?,[multiple_choice] What is the highest degree or level of education you have completed?,[input] How much time (hours) on average do you spend on your mobile?,Risk,No_action
45321674,3,3,1,direct success: Path 1,direct success: Path 1,direct success: Path 1,6,2,The text of the first recommendation was a little bit repetitive. I liked the icons that you created. The colors could be chosen more appropriately so that also color blind people can see a difference (red/green).,1,23,1,1,6,Low,1
45321674,3,3,1,direct success: Path 1,direct success: Path 1,direct success: Path 1,6,2,The text of the first recommendation was a little bit repetitive. I liked the icons that you created. The colors could be chosen more appropriately so that also color blind people can see a difference (red/green).,1,23,1,1,6,Medium,0
45321674,3,3,1,direct success: Path 1,direct success: Path 1,direct success: Path 1,6,2,The text of the first recommendation was a little bit repetitive. I liked the icons that you created. The colors could be chosen more appropriately so that also color blind people can see a difference (red/green).,1,23,1,1,6,High,0
45321666,10,7,4,direct success: Path 1,direct success: Path 1,direct success: Path 1,7,2,0,1,24,1,1,0,Low,1
45321666,10,7,4,direct success: Path 1,direct success: Path 1,direct success: Path 1,7,2,0,1,24,1,1,0,Medium,0
45321666,10,7,4,direct success: Path 1,direct success: Path 1,direct success: Path 1,7,2,0,1,24,1,1,0,High,0
45313379,4,8,8,indirect success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,25,1,2,3,Low,1
45313379,4,8,8,indirect success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,25,1,2,3,Medium,0
45313379,4,8,8,indirect success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,25,1,2,3,High,0
45307521,10,10,10,indirect success: Path 1,indirect success: Path 1,direct success: Path 2,6,2,It took me sometime to understand the task - I was able to select the cantons with risk level but then to click on - ' you are inside/outside' - it took me sometime to understand that I need to click in that option.,1,24,3,2,2,Low,1
45307521,10,10,10,indirect success: Path 1,indirect success: Path 1,direct success: Path 2,6,2,It took me sometime to understand the task - I was able to select the cantons with risk level but then to click on - ' you are inside/outside' - it took me sometime to understand that I need to click in that option.,1,24,3,2,2,Medium,0
45307521,10,10,10,indirect success: Path 1,indirect success: Path 1,direct success: Path 2,6,2,It took me sometime to understand the task - I was able to select the cantons with risk level but then to click on - ' you are inside/outside' - it took me sometime to understand that I need to click in that option.,1,24,3,2,2,High,0
45307279,7,8,5,direct success: Path 1,direct success: Path 1,indirect success: Path 1,7,2,0,1,25,0,2,1,Low,1
45307279,7,8,5,direct success: Path 1,direct success: Path 1,indirect success: Path 1,7,2,0,1,25,0,2,1,Medium,0
45307279,7,8,5,direct success: Path 1,direct success: Path 1,indirect success: Path 1,7,2,0,1,25,0,2,1,High,1
45294677,10,10,10,indirect success: Path 1,direct success: Path 1,direct success: Path 1,10,2,It looks good and user friendly :),1,28,1,2,5,Low,0
45294677,10,10,10,indirect success: Path 1,direct success: Path 1,direct success: Path 1,10,2,It looks good and user friendly :),1,28,1,2,5,Medium,0
45294677,10,10,10,indirect success: Path 1,direct success: Path 1,direct success: Path 1,10,2,It looks good and user friendly :),1,28,1,2,5,High,0
45294215,5,3,6,indirect success: Path 1,direct success: Path 1,direct success: Path 1,7,2,"maybe sometimes not complete sentences, but bullet point could be sufficient",1,23,0,1,2,Low,1
45294215,5,3,6,indirect success: Path 1,direct success: Path 1,direct success: Path 1,7,2,"maybe sometimes not complete sentences, but bullet point could be sufficient",1,23,0,1,2,Medium,0
45294215,5,3,6,indirect success: Path 1,direct success: Path 1,direct success: Path 1,7,2,"maybe sometimes not complete sentences, but bullet point could be sufficient",1,23,0,1,2,High,0
45289319,8,9,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,8,2,0,1,26,0,1,6,Low,1
45289319,8,9,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,8,2,0,1,26,0,1,6,Medium,0
45289319,8,9,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,8,2,0,1,26,0,1,6,High,1
45253850,10,7,7,indirect success: Path 1,direct success: Path 2,direct success: Path 1,8,2,0,1,29,1,2,3,Low,0
45253850,10,7,7,indirect success: Path 1,direct success: Path 2,direct success: Path 1,8,2,0,1,29,1,2,3,Medium,0
45253850,10,7,7,indirect success: Path 1,direct success: Path 2,direct success: Path 1,8,2,0,1,29,1,2,3,High,0
45205528,8,6,10,indirect success: Path 1,direct success: Path 1,direct success: Path 1,8,2,"I feel that the visual recommendation depicting the man running to find shelter could cause confusion due to the changing shade of red, considering that the danger rating itself is color based and uses tones of red.",1,26,0,0,2,Low,0
45205528,8,6,10,indirect success: Path 1,direct success: Path 1,direct success: Path 1,8,2,"I feel that the visual recommendation depicting the man running to find shelter could cause confusion due to the changing shade of red, considering that the danger rating itself is color based and uses tones of red.",1,26,0,0,2,Medium,0
45205528,8,6,10,indirect success: Path 1,direct success: Path 1,direct success: Path 1,8,2,"I feel that the visual recommendation depicting the man running to find shelter could cause confusion due to the changing shade of red, considering that the danger rating itself is color based and uses tones of red.",1,26,0,0,2,High,0
45205643,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA
45205643,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,1
45205643,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0
45139075,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0
45139075,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,1
45139075,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,1
45124915,8,4,2,direct success: Path 1,direct success: Path 1,direct success: Path 1,8,2,0,1,22,1,0,0,Low,1
45124915,8,4,2,direct success: Path 1,direct success: Path 1,direct success: Path 1,8,2,0,1,22,1,0,0,Medium,0
45124915,8,4,2,direct success: Path 1,direct success: Path 1,direct success: Path 1,8,2,0,1,22,1,0,0,High,0
45124434,5,8,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,0,1,23,1,1,3,Low,0
45124434,5,8,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,0,1,23,1,1,3,Medium,0
